judge,response_hash,prompt_id,actual_author,other_label,self_composite,other_composite,delta
gemini-3.1-pro,3914796db0,repl-creative-001,kimi-k2.6,gpt-5.5,9.200,7.800,+1.400
gemini-3.1-pro,1bc82ab247,repl-design-001,gpt-5.5,kimi-k2.6,9.400,9.000,+0.400
gemini-3.1-pro,b73872a0d3,repl-math-001,claude-opus-4.7,claude-opus-4.7,9.800,9.600,+0.200
gemini-3.1-pro,f53991af0c,repl-history-001,claude-opus-4.7,kimi-k2.6,9.600,8.400,+1.200
gemini-3.1-pro,086b8d5b34,repl-math-001,kimi-k2.6,kimi-k2.6,9.600,8.200,+1.400
gemini-3.1-pro,8a9b400659,repl-science-001,gemini-3.1-pro,gpt-5.5,9.400,9.000,+0.400
gemini-3.1-pro,6b79f4dcb4,repl-math-001,gemini-3.1-pro,gpt-5.5,9.600,9.600,+0.000
gemini-3.1-pro,e9860d8135,repl-creative-001,gemini-3.1-pro,claude-opus-4.7,9.000,8.400,+0.600
gemini-3.1-pro,c66161276c,repl-logic-001,gpt-5.5,gpt-5.5,9.000,9.600,-0.600
gemini-3.1-pro,f53674646a,repl-ethics-001,gpt-5.5,gpt-5.5,9.400,9.000,+0.400
gemini-3.1-pro,ccf20f11ff,repl-design-001,kimi-k2.6,kimi-k2.6,9.400,9.000,+0.400
gemini-3.1-pro,8e0a874016,repl-design-001,claude-opus-4.7,kimi-k2.6,10.000,9.600,+0.400
gemini-3.1-pro,5e1adcd017,repl-code-001,gemini-3.1-pro,claude-opus-4.7,9.600,9.600,+0.000
gemini-3.1-pro,e38110c310,repl-philosophy-001,claude-opus-4.7,claude-opus-4.7,9.400,9.200,+0.200
gpt-5.5,4893d71325,repl-explain-001,gpt-5.5,gemini-3.1-pro,9.400,9.400,+0.000
gpt-5.5,a2c295d8e5,repl-code-001,gpt-5.5,claude-opus-4.7,8.800,8.800,+0.000
gpt-5.5,a2a0ddcf5a,repl-ethics-001,claude-opus-4.7,kimi-k2.6,9.600,9.600,+0.000
gpt-5.5,9f80277cea,repl-history-001,gpt-5.5,claude-opus-4.7,9.400,9.400,+0.000
gpt-5.5,c66161276c,repl-logic-001,gpt-5.5,gemini-3.1-pro,9.400,9.400,+0.000
gpt-5.5,0cfbc7b9ba,repl-design-001,gemini-3.1-pro,claude-opus-4.7,9.000,9.000,+0.000
gpt-5.5,3914796db0,repl-creative-001,kimi-k2.6,gemini-3.1-pro,5.000,5.000,+0.000
gpt-5.5,3be717de2a,repl-creative-001,gpt-5.5,claude-opus-4.7,10.000,10.000,+0.000
gpt-5.5,fed7d58d0c,repl-science-001,kimi-k2.6,gemini-3.1-pro,5.400,5.400,+0.000
gpt-5.5,caf29d0ba0,repl-explain-001,gemini-3.1-pro,claude-opus-4.7,9.400,9.400,+0.000
gpt-5.5,c126f5aa1a,repl-history-001,kimi-k2.6,claude-opus-4.7,9.400,9.400,+0.000
gpt-5.5,6b79f4dcb4,repl-math-001,gemini-3.1-pro,gemini-3.1-pro,9.200,9.200,+0.000
gpt-5.5,b3eb125ea7,repl-ethics-001,kimi-k2.6,kimi-k2.6,4.800,4.800,+0.000
gpt-5.5,97433b368a,repl-explain-001,claude-opus-4.7,kimi-k2.6,9.600,9.600,+0.000
gpt-5.5,c4cc12f996,repl-science-001,gpt-5.5,claude-opus-4.7,9.000,9.000,+0.000
gpt-5.5,f53674646a,repl-ethics-001,gpt-5.5,gemini-3.1-pro,9.000,9.000,+0.000
gpt-5.5,a4b436bf10,repl-philosophy-001,gpt-5.5,kimi-k2.6,8.800,8.800,+0.000
gpt-5.5,1dc7dc93dd,repl-logic-001,gemini-3.1-pro,claude-opus-4.7,8.400,8.400,+0.000
gpt-5.5,18ffe26d1c,repl-creative-001,claude-opus-4.7,kimi-k2.6,10.000,10.000,+0.000
gpt-5.5,8a9b400659,repl-science-001,gemini-3.1-pro,gemini-3.1-pro,9.000,9.000,+0.000
kimi-k2.6,1bc82ab247,repl-design-001,gpt-5.5,gemini-3.1-pro,8.800,8.600,+0.200
kimi-k2.6,32844b97f7,repl-logic-001,kimi-k2.6,claude-opus-4.7,4.400,4.000,+0.400
kimi-k2.6,19b01caacd,repl-math-001,gpt-5.5,claude-opus-4.7,8.400,8.600,-0.200
kimi-k2.6,086b8d5b34,repl-math-001,kimi-k2.6,gemini-3.1-pro,6.000,7.400,-1.400
kimi-k2.6,1cdbd420f8,repl-philosophy-001,kimi-k2.6,gemini-3.1-pro,8.800,7.000,+1.800
kimi-k2.6,4fcc3d7399,repl-philosophy-001,gemini-3.1-pro,claude-opus-4.7,9.000,8.600,+0.400
kimi-k2.6,a2a0ddcf5a,repl-ethics-001,claude-opus-4.7,gpt-5.5,9.800,8.000,+1.800
kimi-k2.6,18ffe26d1c,repl-creative-001,claude-opus-4.7,gpt-5.5,9.200,9.800,-0.600
kimi-k2.6,f53991af0c,repl-history-001,claude-opus-4.7,gemini-3.1-pro,9.800,9.400,+0.400
kimi-k2.6,64d77dccba,repl-science-001,claude-opus-4.7,claude-opus-4.7,8.400,10.000,-1.600
kimi-k2.6,97433b368a,repl-explain-001,claude-opus-4.7,gpt-5.5,9.200,9.800,-0.600
kimi-k2.6,bcaab024d6,repl-code-001,claude-opus-4.7,claude-opus-4.7,7.600,9.400,-1.800
kimi-k2.6,20a0901d4b,repl-code-001,kimi-k2.6,gemini-3.1-pro,8.400,6.000,+2.400
kimi-k2.6,a4b436bf10,repl-philosophy-001,gpt-5.5,gpt-5.5,6.800,6.600,+0.200
kimi-k2.6,180473d57f,repl-logic-001,claude-opus-4.7,gemini-3.1-pro,9.600,9.800,-0.200
kimi-k2.6,d90d15605f,repl-history-001,gemini-3.1-pro,claude-opus-4.7,9.200,8.800,+0.400
kimi-k2.6,ccf20f11ff,repl-design-001,kimi-k2.6,gemini-3.1-pro,7.400,7.200,+0.200
kimi-k2.6,b3eb125ea7,repl-ethics-001,kimi-k2.6,gpt-5.5,6.800,8.600,-1.800
kimi-k2.6,8e0a874016,repl-design-001,claude-opus-4.7,gemini-3.1-pro,9.000,8.800,+0.200
kimi-k2.6,ccf4a39926,repl-ethics-001,gemini-3.1-pro,claude-opus-4.7,9.200,9.200,+0.000
