judge,displayed_label,prompt_id,n,mean_residual
claude-opus-4.7,kimi-k2.6,repl-ethics-001,3,-0.167
claude-opus-4.7,kimi-k2.6,repl-explain-001,1,+0.500
claude-opus-4.7,kimi-k2.6,repl-history-001,2,-0.100
claude-opus-4.7,kimi-k2.6,repl-logic-001,2,-0.450
claude-opus-4.7,kimi-k2.6,repl-math-001,2,-0.150
claude-opus-4.7,kimi-k2.6,repl-philosophy-001,3,+0.400
claude-opus-4.7,kimi-k2.6,repl-science-001,1,+0.000
gemini-3.1-pro,claude-opus-4.7,repl-code-001,3,+0.033
gemini-3.1-pro,claude-opus-4.7,repl-creative-001,2,-0.150
gemini-3.1-pro,claude-opus-4.7,repl-design-001,1,+0.100
gemini-3.1-pro,claude-opus-4.7,repl-ethics-001,1,+0.300
gemini-3.1-pro,claude-opus-4.7,repl-explain-001,2,-0.250
gemini-3.1-pro,claude-opus-4.7,repl-history-001,3,+0.167
gemini-3.1-pro,claude-opus-4.7,repl-logic-001,2,+0.100
gemini-3.1-pro,claude-opus-4.7,repl-math-001,2,+0.000
gemini-3.1-pro,claude-opus-4.7,repl-philosophy-001,2,+0.100
gemini-3.1-pro,claude-opus-4.7,repl-science-001,2,+0.050
gemini-3.1-pro,gemini-3.1-pro,repl-code-001,2,+0.100
gemini-3.1-pro,gemini-3.1-pro,repl-creative-001,2,+0.500
gemini-3.1-pro,gemini-3.1-pro,repl-design-001,3,+0.200
gemini-3.1-pro,gemini-3.1-pro,repl-ethics-001,1,+0.200
gemini-3.1-pro,gemini-3.1-pro,repl-explain-001,2,+0.200
gemini-3.1-pro,gemini-3.1-pro,repl-history-001,1,+0.600
gemini-3.1-pro,gemini-3.1-pro,repl-logic-001,2,-0.150
gemini-3.1-pro,gemini-3.1-pro,repl-math-001,3,+0.267
gemini-3.1-pro,gemini-3.1-pro,repl-philosophy-001,2,+0.350
gemini-3.1-pro,gemini-3.1-pro,repl-science-001,2,+0.100
gemini-3.1-pro,gpt-5.5,repl-code-001,1,-0.100
gemini-3.1-pro,gpt-5.5,repl-creative-001,3,-0.233
gemini-3.1-pro,gpt-5.5,repl-design-001,1,-0.100
gemini-3.1-pro,gpt-5.5,repl-ethics-001,3,+0.100
gemini-3.1-pro,gpt-5.5,repl-explain-001,3,+0.033
gemini-3.1-pro,gpt-5.5,repl-history-001,2,-0.050
gemini-3.1-pro,gpt-5.5,repl-logic-001,2,+0.200
gemini-3.1-pro,gpt-5.5,repl-math-001,1,+0.000
gemini-3.1-pro,gpt-5.5,repl-philosophy-001,1,+0.300
gemini-3.1-pro,gpt-5.5,repl-science-001,3,-0.100
gemini-3.1-pro,kimi-k2.6,repl-code-001,2,-0.100
gemini-3.1-pro,kimi-k2.6,repl-creative-001,1,+0.000
gemini-3.1-pro,kimi-k2.6,repl-design-001,3,-0.200
gemini-3.1-pro,kimi-k2.6,repl-ethics-001,3,-0.267
gemini-3.1-pro,kimi-k2.6,repl-explain-001,1,+0.000
gemini-3.1-pro,kimi-k2.6,repl-history-001,2,-0.500
gemini-3.1-pro,kimi-k2.6,repl-logic-001,2,-0.150
gemini-3.1-pro,kimi-k2.6,repl-math-001,2,-0.400
gemini-3.1-pro,kimi-k2.6,repl-philosophy-001,3,-0.400
gemini-3.1-pro,kimi-k2.6,repl-science-001,1,+0.000
gpt-5.5,claude-opus-4.7,repl-code-001,3,+0.000
gpt-5.5,claude-opus-4.7,repl-creative-001,2,+0.000
gpt-5.5,claude-opus-4.7,repl-design-001,1,+0.000
gpt-5.5,claude-opus-4.7,repl-ethics-001,1,+0.000
gpt-5.5,claude-opus-4.7,repl-explain-001,2,+0.000
gpt-5.5,claude-opus-4.7,repl-history-001,3,+0.000
gpt-5.5,claude-opus-4.7,repl-logic-001,2,+0.000
gpt-5.5,claude-opus-4.7,repl-math-001,2,+0.000
gpt-5.5,claude-opus-4.7,repl-philosophy-001,2,+0.000
gpt-5.5,claude-opus-4.7,repl-science-001,2,+0.000
gpt-5.5,gemini-3.1-pro,repl-code-001,2,+0.000
gpt-5.5,gemini-3.1-pro,repl-creative-001,2,+0.000
gpt-5.5,gemini-3.1-pro,repl-design-001,3,+0.000
gpt-5.5,gemini-3.1-pro,repl-ethics-001,1,+0.000
gpt-5.5,gemini-3.1-pro,repl-explain-001,2,+0.000
gpt-5.5,gemini-3.1-pro,repl-history-001,1,+0.000
gpt-5.5,gemini-3.1-pro,repl-logic-001,2,+0.000
gpt-5.5,gemini-3.1-pro,repl-math-001,3,+0.000
gpt-5.5,gemini-3.1-pro,repl-philosophy-001,2,+0.000
gpt-5.5,gemini-3.1-pro,repl-science-001,2,+0.000
gpt-5.5,gpt-5.5,repl-code-001,1,+0.000
gpt-5.5,gpt-5.5,repl-creative-001,3,+0.000
gpt-5.5,gpt-5.5,repl-design-001,1,+0.000
gpt-5.5,gpt-5.5,repl-ethics-001,3,+0.000
gpt-5.5,gpt-5.5,repl-explain-001,3,+0.000
gpt-5.5,gpt-5.5,repl-history-001,2,+0.000
gpt-5.5,gpt-5.5,repl-logic-001,2,+0.000
gpt-5.5,gpt-5.5,repl-math-001,1,+0.000
gpt-5.5,gpt-5.5,repl-philosophy-001,1,+0.000
gpt-5.5,gpt-5.5,repl-science-001,3,+0.000
gpt-5.5,kimi-k2.6,repl-code-001,2,+0.000
gpt-5.5,kimi-k2.6,repl-creative-001,1,+0.000
gpt-5.5,kimi-k2.6,repl-design-001,3,+0.000
gpt-5.5,kimi-k2.6,repl-ethics-001,3,+0.000
gpt-5.5,kimi-k2.6,repl-explain-001,1,+0.000
gpt-5.5,kimi-k2.6,repl-history-001,2,+0.000
gpt-5.5,kimi-k2.6,repl-logic-001,2,+0.000
gpt-5.5,kimi-k2.6,repl-math-001,2,+0.000
gpt-5.5,kimi-k2.6,repl-philosophy-001,3,+0.000
gpt-5.5,kimi-k2.6,repl-science-001,1,+0.000
