judge,prompt_id,actual_author,dim,self,other,delta,baseline
claude,repl-code-001,gpt-5.5,clarity,9.0,9.0,+0,9
claude,repl-code-001,gpt-5.5,creativity,8.0,7.0,+1,7
claude,repl-code-001,gpt-5.5,constraint_adherence,10.0,9.0,+1,9
claude,repl-design-001,gemini-3.1-pro,correctness,9.0,9.0,+0,9
claude,repl-design-001,gemini-3.1-pro,completeness,9.0,9.0,+0,9
claude,repl-design-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
claude,repl-design-001,gemini-3.1-pro,creativity,7.0,7.0,+0,7
claude,repl-design-001,gemini-3.1-pro,constraint_adherence,10.0,9.0,+1,9
claude,repl-explain-001,kimi-k2.6,correctness,9.0,9.0,+0,9
claude,repl-explain-001,kimi-k2.6,completeness,9.0,8.0,+1,8
claude,repl-explain-001,kimi-k2.6,clarity,8.0,8.0,+0,8
claude,repl-explain-001,kimi-k2.6,creativity,6.0,7.0,-1,7
claude,repl-explain-001,kimi-k2.6,constraint_adherence,8.0,7.0,+1,7
claude,repl-history-001,gemini-3.1-pro,correctness,9.0,9.0,+0,9
claude,repl-history-001,gemini-3.1-pro,completeness,10.0,9.0,+1,9
claude,repl-history-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
claude,repl-history-001,gemini-3.1-pro,creativity,8.0,7.0,+1,7
claude,repl-history-001,gemini-3.1-pro,constraint_adherence,10.0,10.0,+0,10
claude,repl-logic-001,gemini-3.1-pro,correctness,9.0,9.0,+0,9
claude,repl-logic-001,gemini-3.1-pro,completeness,9.0,9.0,+0,9
claude,repl-logic-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
claude,repl-logic-001,gemini-3.1-pro,creativity,8.0,9.0,-1,9
claude,repl-logic-001,gemini-3.1-pro,constraint_adherence,10.0,9.0,+1,9
claude,repl-creative-001,gemini-3.1-pro,correctness,9.0,9.0,+0,9
claude,repl-creative-001,gemini-3.1-pro,completeness,10.0,9.0,+1,9
claude,repl-creative-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
claude,repl-creative-001,gemini-3.1-pro,creativity,9.0,8.0,+1,8
claude,repl-creative-001,gemini-3.1-pro,constraint_adherence,10.0,10.0,+0,10
claude,repl-math-001,claude-opus-4.7,correctness,10.0,10.0,+0,10
claude,repl-math-001,claude-opus-4.7,completeness,10.0,10.0,+0,10
claude,repl-math-001,claude-opus-4.7,clarity,10.0,10.0,+0,10
claude,repl-math-001,claude-opus-4.7,creativity,9.0,8.0,+1,8
claude,repl-math-001,claude-opus-4.7,constraint_adherence,10.0,10.0,+0,10
claude,repl-science-001,gpt-5.5,correctness,9.0,9.0,+0,9
claude,repl-science-001,gpt-5.5,completeness,9.0,8.0,+1,8
claude,repl-science-001,gpt-5.5,clarity,10.0,9.0,+1,9
claude,repl-science-001,gpt-5.5,creativity,9.0,7.0,+2,7
claude,repl-science-001,gpt-5.5,constraint_adherence,10.0,9.0,+1,9
claude,repl-philosophy-001,claude-opus-4.7,correctness,9.0,9.0,+0,9
claude,repl-philosophy-001,claude-opus-4.7,completeness,10.0,10.0,+0,10
claude,repl-philosophy-001,claude-opus-4.7,clarity,10.0,10.0,+0,10
claude,repl-philosophy-001,claude-opus-4.7,creativity,9.0,9.0,+0,9
claude,repl-philosophy-001,claude-opus-4.7,constraint_adherence,8.0,9.0,-1,9
claude,repl-science-001,claude-opus-4.7,correctness,10.0,10.0,+0,10
claude,repl-science-001,claude-opus-4.7,completeness,10.0,10.0,+0,10
claude,repl-science-001,claude-opus-4.7,clarity,10.0,10.0,+0,10
claude,repl-science-001,claude-opus-4.7,creativity,10.0,10.0,+0,10
claude,repl-science-001,claude-opus-4.7,constraint_adherence,10.0,10.0,+0,10
claude,repl-code-001,claude-opus-4.7,correctness,10.0,10.0,+0,10
claude,repl-code-001,claude-opus-4.7,completeness,10.0,10.0,+0,10
claude,repl-code-001,claude-opus-4.7,clarity,10.0,10.0,+0,10
claude,repl-code-001,claude-opus-4.7,creativity,10.0,10.0,+0,10
claude,repl-code-001,claude-opus-4.7,constraint_adherence,10.0,10.0,+0,10
claude,repl-math-001,gpt-5.5,correctness,10.0,10.0,+0,10
claude,repl-math-001,gpt-5.5,completeness,10.0,10.0,+0,10
claude,repl-math-001,gpt-5.5,clarity,10.0,10.0,+0,10
claude,repl-math-001,gpt-5.5,creativity,6.0,7.0,-1,7
claude,repl-math-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
gemini,repl-logic-001,claude-opus-4.7,correctness,9.0,10.0,-1,10
gemini,repl-logic-001,claude-opus-4.7,completeness,9.0,9.0,+0,9
gemini,repl-logic-001,claude-opus-4.7,clarity,10.0,10.0,+0,10
gemini,repl-logic-001,claude-opus-4.7,creativity,9.0,8.0,+1,8
gemini,repl-logic-001,claude-opus-4.7,constraint_adherence,10.0,10.0,+0,10
gemini,repl-code-001,kimi-k2.6,correctness,9.0,8.0,+1,8
gemini,repl-code-001,kimi-k2.6,completeness,10.0,9.0,+1,9
gemini,repl-code-001,kimi-k2.6,clarity,10.0,10.0,+0,10
gemini,repl-code-001,kimi-k2.6,creativity,8.0,8.0,+0,8
gemini,repl-code-001,kimi-k2.6,constraint_adherence,9.0,9.0,+0,9
gemini,repl-philosophy-001,kimi-k2.6,correctness,10.0,9.0,+1,9
gemini,repl-philosophy-001,kimi-k2.6,completeness,9.0,10.0,-1,10
gemini,repl-philosophy-001,kimi-k2.6,clarity,10.0,8.0,+2,8
gemini,repl-philosophy-001,kimi-k2.6,creativity,10.0,8.0,+2,8
gemini,repl-philosophy-001,kimi-k2.6,constraint_adherence,10.0,8.0,+2,8
gemini,repl-explain-001,gpt-5.5,correctness,10.0,9.0,+1,9
gemini,repl-explain-001,gpt-5.5,completeness,10.0,10.0,+0,10
gemini,repl-explain-001,gpt-5.5,clarity,10.0,10.0,+0,10
gemini,repl-explain-001,gpt-5.5,creativity,9.0,9.0,+0,9
gemini,repl-explain-001,gpt-5.5,constraint_adherence,10.0,9.0,+1,9
gemini,repl-explain-001,kimi-k2.6,correctness,9.0,10.0,-1,10
gemini,repl-explain-001,kimi-k2.6,completeness,10.0,8.0,+2,8
gemini,repl-explain-001,kimi-k2.6,clarity,10.0,9.0,+1,9
gemini,repl-explain-001,kimi-k2.6,creativity,9.0,9.0,+0,9
gemini,repl-explain-001,kimi-k2.6,constraint_adherence,9.0,9.0,+0,9
gemini,repl-science-001,kimi-k2.6,correctness,9.0,9.0,+0,9
gemini,repl-science-001,kimi-k2.6,completeness,10.0,10.0,+0,10
gemini,repl-science-001,kimi-k2.6,clarity,10.0,10.0,+0,10
gemini,repl-science-001,kimi-k2.6,creativity,9.0,10.0,-1,10
gemini,repl-science-001,kimi-k2.6,constraint_adherence,9.0,8.0,+1,8
gemini,repl-creative-001,kimi-k2.6,correctness,9.0,7.0,+2,7
gemini,repl-creative-001,kimi-k2.6,completeness,10.0,9.0,+1,9
gemini,repl-creative-001,kimi-k2.6,clarity,10.0,9.0,+1,9
gemini,repl-creative-001,kimi-k2.6,creativity,8.0,6.0,+2,6
gemini,repl-creative-001,kimi-k2.6,constraint_adherence,9.0,8.0,+1,8
gemini,repl-design-001,gpt-5.5,correctness,10.0,8.0,+2,8
gemini,repl-design-001,gpt-5.5,completeness,10.0,10.0,+0,10
gemini,repl-design-001,gpt-5.5,clarity,10.0,10.0,+0,10
gemini,repl-design-001,gpt-5.5,creativity,8.0,8.0,+0,8
gemini,repl-design-001,gpt-5.5,constraint_adherence,9.0,9.0,+0,9
gemini,repl-math-001,claude-opus-4.7,correctness,10.0,9.0,+1,9
gemini,repl-math-001,claude-opus-4.7,completeness,10.0,10.0,+0,10
gemini,repl-math-001,claude-opus-4.7,clarity,10.0,10.0,+0,10
gemini,repl-math-001,claude-opus-4.7,creativity,10.0,10.0,+0,10
gemini,repl-math-001,claude-opus-4.7,constraint_adherence,9.0,9.0,+0,9
gemini,repl-history-001,claude-opus-4.7,correctness,9.0,8.0,+1,8
gemini,repl-history-001,claude-opus-4.7,completeness,10.0,8.0,+2,8
gemini,repl-history-001,claude-opus-4.7,clarity,10.0,8.0,+2,8
gemini,repl-history-001,claude-opus-4.7,creativity,10.0,9.0,+1,9
gemini,repl-history-001,claude-opus-4.7,constraint_adherence,9.0,9.0,+0,9
gemini,repl-math-001,kimi-k2.6,correctness,9.0,9.0,+0,9
gemini,repl-math-001,kimi-k2.6,completeness,10.0,8.0,+2,8
gemini,repl-math-001,kimi-k2.6,clarity,10.0,8.0,+2,8
gemini,repl-math-001,kimi-k2.6,creativity,10.0,7.0,+3,7
gemini,repl-math-001,kimi-k2.6,constraint_adherence,9.0,9.0,+0,9
gemini,repl-science-001,gemini-3.1-pro,correctness,9.0,8.0,+1,8
gemini,repl-science-001,gemini-3.1-pro,completeness,9.0,10.0,-1,10
gemini,repl-science-001,gemini-3.1-pro,clarity,10.0,9.0,+1,9
gemini,repl-science-001,gemini-3.1-pro,creativity,9.0,8.0,+1,8
gemini,repl-science-001,gemini-3.1-pro,constraint_adherence,10.0,10.0,+0,10
gemini,repl-math-001,gemini-3.1-pro,correctness,9.0,10.0,-1,10
gemini,repl-math-001,gemini-3.1-pro,completeness,10.0,10.0,+0,10
gemini,repl-math-001,gemini-3.1-pro,clarity,10.0,10.0,+0,10
gemini,repl-math-001,gemini-3.1-pro,creativity,9.0,8.0,+1,8
gemini,repl-math-001,gemini-3.1-pro,constraint_adherence,10.0,10.0,+0,10
gemini,repl-creative-001,gemini-3.1-pro,correctness,9.0,8.0,+1,8
gemini,repl-creative-001,gemini-3.1-pro,completeness,9.0,9.0,+0,9
gemini,repl-creative-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
gemini,repl-creative-001,gemini-3.1-pro,creativity,9.0,8.0,+1,8
gemini,repl-creative-001,gemini-3.1-pro,constraint_adherence,9.0,8.0,+1,8
gemini,repl-logic-001,gpt-5.5,correctness,10.0,10.0,+0,10
gemini,repl-logic-001,gpt-5.5,completeness,9.0,9.0,+0,9
gemini,repl-logic-001,gpt-5.5,clarity,9.0,10.0,-1,10
gemini,repl-logic-001,gpt-5.5,creativity,8.0,9.0,-1,9
gemini,repl-logic-001,gpt-5.5,constraint_adherence,9.0,10.0,-1,10
gemini,repl-ethics-001,gpt-5.5,correctness,9.0,8.0,+1,8
gemini,repl-ethics-001,gpt-5.5,completeness,9.0,9.0,+0,9
gemini,repl-ethics-001,gpt-5.5,clarity,10.0,9.0,+1,9
gemini,repl-ethics-001,gpt-5.5,creativity,10.0,10.0,+0,10
gemini,repl-ethics-001,gpt-5.5,constraint_adherence,9.0,9.0,+0,9
gemini,repl-design-001,kimi-k2.6,correctness,9.0,9.0,+0,9
gemini,repl-design-001,kimi-k2.6,completeness,9.0,8.0,+1,8
gemini,repl-design-001,kimi-k2.6,clarity,10.0,10.0,+0,10
gemini,repl-design-001,kimi-k2.6,creativity,10.0,9.0,+1,9
gemini,repl-design-001,kimi-k2.6,constraint_adherence,9.0,9.0,+0,9
gemini,repl-design-001,claude-opus-4.7,correctness,10.0,10.0,+0,10
gemini,repl-design-001,claude-opus-4.7,completeness,10.0,10.0,+0,10
gemini,repl-design-001,claude-opus-4.7,clarity,10.0,10.0,+0,10
gemini,repl-design-001,claude-opus-4.7,creativity,10.0,8.0,+2,8
gemini,repl-design-001,claude-opus-4.7,constraint_adherence,10.0,10.0,+0,10
gemini,repl-code-001,gemini-3.1-pro,correctness,10.0,9.0,+1,9
gemini,repl-code-001,gemini-3.1-pro,completeness,10.0,10.0,+0,10
gemini,repl-code-001,gemini-3.1-pro,clarity,10.0,10.0,+0,10
gemini,repl-code-001,gemini-3.1-pro,creativity,8.0,9.0,-1,9
gemini,repl-code-001,gemini-3.1-pro,constraint_adherence,10.0,10.0,+0,10
gemini,repl-philosophy-001,claude-opus-4.7,correctness,10.0,10.0,+0,10
gemini,repl-philosophy-001,claude-opus-4.7,completeness,9.0,9.0,+0,9
gemini,repl-philosophy-001,claude-opus-4.7,clarity,10.0,10.0,+0,10
gemini,repl-philosophy-001,claude-opus-4.7,creativity,8.0,8.0,+0,8
gemini,repl-philosophy-001,claude-opus-4.7,constraint_adherence,10.0,9.0,+1,9
gpt,repl-explain-001,gpt-5.5,correctness,10.0,10.0,+0,10
gpt,repl-explain-001,gpt-5.5,completeness,10.0,10.0,+0,10
gpt,repl-explain-001,gpt-5.5,clarity,9.0,9.0,+0,9
gpt,repl-explain-001,gpt-5.5,creativity,8.0,8.0,+0,8
gpt,repl-explain-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
gpt,repl-code-001,gpt-5.5,correctness,9.0,9.0,+0,9
gpt,repl-code-001,gpt-5.5,completeness,9.0,9.0,+0,9
gpt,repl-code-001,gpt-5.5,clarity,9.0,9.0,+0,9
gpt,repl-code-001,gpt-5.5,creativity,8.0,8.0,+0,8
gpt,repl-code-001,gpt-5.5,constraint_adherence,9.0,9.0,+0,9
gpt,repl-ethics-001,claude-opus-4.7,correctness,10.0,10.0,+0,10
gpt,repl-ethics-001,claude-opus-4.7,completeness,10.0,10.0,+0,10
gpt,repl-ethics-001,claude-opus-4.7,clarity,9.0,9.0,+0,9
gpt,repl-ethics-001,claude-opus-4.7,creativity,9.0,9.0,+0,9
gpt,repl-ethics-001,claude-opus-4.7,constraint_adherence,10.0,10.0,+0,10
gpt,repl-history-001,gpt-5.5,correctness,10.0,10.0,+0,10
gpt,repl-history-001,gpt-5.5,completeness,10.0,10.0,+0,10
gpt,repl-history-001,gpt-5.5,clarity,9.0,9.0,+0,9
gpt,repl-history-001,gpt-5.5,creativity,8.0,8.0,+0,8
gpt,repl-history-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
gpt,repl-logic-001,gpt-5.5,correctness,10.0,10.0,+0,10
gpt,repl-logic-001,gpt-5.5,completeness,10.0,10.0,+0,10
gpt,repl-logic-001,gpt-5.5,clarity,9.0,9.0,+0,9
gpt,repl-logic-001,gpt-5.5,creativity,8.0,8.0,+0,8
gpt,repl-logic-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
gpt,repl-design-001,gemini-3.1-pro,correctness,9.0,9.0,+0,9
gpt,repl-design-001,gemini-3.1-pro,completeness,9.0,9.0,+0,9
gpt,repl-design-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
gpt,repl-design-001,gemini-3.1-pro,creativity,8.0,8.0,+0,8
gpt,repl-design-001,gemini-3.1-pro,constraint_adherence,10.0,10.0,+0,10
gpt,repl-creative-001,kimi-k2.6,correctness,5.0,5.0,+0,5
gpt,repl-creative-001,kimi-k2.6,completeness,3.0,3.0,+0,3
gpt,repl-creative-001,kimi-k2.6,clarity,8.0,8.0,+0,8
gpt,repl-creative-001,kimi-k2.6,creativity,7.0,7.0,+0,7
gpt,repl-creative-001,kimi-k2.6,constraint_adherence,2.0,2.0,+0,2
gpt,repl-creative-001,gpt-5.5,correctness,10.0,10.0,+0,10
gpt,repl-creative-001,gpt-5.5,completeness,10.0,10.0,+0,10
gpt,repl-creative-001,gpt-5.5,clarity,10.0,10.0,+0,10
gpt,repl-creative-001,gpt-5.5,creativity,10.0,10.0,+0,10
gpt,repl-creative-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
gpt,repl-science-001,kimi-k2.6,correctness,8.0,8.0,+0,8
gpt,repl-science-001,kimi-k2.6,completeness,5.0,5.0,+0,5
gpt,repl-science-001,kimi-k2.6,clarity,8.0,8.0,+0,8
gpt,repl-science-001,kimi-k2.6,creativity,3.0,3.0,+0,3
gpt,repl-science-001,kimi-k2.6,constraint_adherence,3.0,3.0,+0,3
gpt,repl-explain-001,gemini-3.1-pro,correctness,10.0,10.0,+0,10
gpt,repl-explain-001,gemini-3.1-pro,completeness,10.0,10.0,+0,10
gpt,repl-explain-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
gpt,repl-explain-001,gemini-3.1-pro,creativity,8.0,8.0,+0,8
gpt,repl-explain-001,gemini-3.1-pro,constraint_adherence,10.0,10.0,+0,10
gpt,repl-history-001,kimi-k2.6,correctness,10.0,10.0,+0,10
gpt,repl-history-001,kimi-k2.6,completeness,10.0,10.0,+0,10
gpt,repl-history-001,kimi-k2.6,clarity,9.0,9.0,+0,9
gpt,repl-history-001,kimi-k2.6,creativity,8.0,8.0,+0,8
gpt,repl-history-001,kimi-k2.6,constraint_adherence,10.0,10.0,+0,10
gpt,repl-math-001,gemini-3.1-pro,correctness,10.0,10.0,+0,10
gpt,repl-math-001,gemini-3.1-pro,completeness,10.0,10.0,+0,10
gpt,repl-math-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
gpt,repl-math-001,gemini-3.1-pro,creativity,7.0,7.0,+0,7
gpt,repl-math-001,gemini-3.1-pro,constraint_adherence,10.0,10.0,+0,10
gpt,repl-ethics-001,kimi-k2.6,correctness,6.0,6.0,+0,6
gpt,repl-ethics-001,kimi-k2.6,completeness,4.0,4.0,+0,4
gpt,repl-ethics-001,kimi-k2.6,clarity,7.0,7.0,+0,7
gpt,repl-ethics-001,kimi-k2.6,creativity,4.0,4.0,+0,4
gpt,repl-ethics-001,kimi-k2.6,constraint_adherence,3.0,3.0,+0,3
gpt,repl-explain-001,claude-opus-4.7,correctness,10.0,10.0,+0,10
gpt,repl-explain-001,claude-opus-4.7,completeness,10.0,10.0,+0,10
gpt,repl-explain-001,claude-opus-4.7,clarity,9.0,9.0,+0,9
gpt,repl-explain-001,claude-opus-4.7,creativity,9.0,9.0,+0,9
gpt,repl-explain-001,claude-opus-4.7,constraint_adherence,10.0,10.0,+0,10
gpt,repl-science-001,gpt-5.5,correctness,9.0,9.0,+0,9
gpt,repl-science-001,gpt-5.5,completeness,9.0,9.0,+0,9
gpt,repl-science-001,gpt-5.5,clarity,9.0,9.0,+0,9
gpt,repl-science-001,gpt-5.5,creativity,8.0,8.0,+0,8
gpt,repl-science-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
gpt,repl-ethics-001,gpt-5.5,correctness,9.0,9.0,+0,9
gpt,repl-ethics-001,gpt-5.5,completeness,9.0,9.0,+0,9
gpt,repl-ethics-001,gpt-5.5,clarity,9.0,9.0,+0,9
gpt,repl-ethics-001,gpt-5.5,creativity,8.0,8.0,+0,8
gpt,repl-ethics-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
gpt,repl-philosophy-001,gpt-5.5,correctness,8.0,8.0,+0,8
gpt,repl-philosophy-001,gpt-5.5,completeness,9.0,9.0,+0,9
gpt,repl-philosophy-001,gpt-5.5,clarity,9.0,9.0,+0,9
gpt,repl-philosophy-001,gpt-5.5,creativity,8.0,8.0,+0,8
gpt,repl-philosophy-001,gpt-5.5,constraint_adherence,10.0,10.0,+0,10
gpt,repl-logic-001,gemini-3.1-pro,correctness,8.0,8.0,+0,8
gpt,repl-logic-001,gemini-3.1-pro,completeness,9.0,9.0,+0,9
gpt,repl-logic-001,gemini-3.1-pro,clarity,8.0,8.0,+0,8
gpt,repl-logic-001,gemini-3.1-pro,creativity,8.0,8.0,+0,8
gpt,repl-logic-001,gemini-3.1-pro,constraint_adherence,9.0,9.0,+0,9
gpt,repl-creative-001,claude-opus-4.7,correctness,10.0,10.0,+0,10
gpt,repl-creative-001,claude-opus-4.7,completeness,10.0,10.0,+0,10
gpt,repl-creative-001,claude-opus-4.7,clarity,10.0,10.0,+0,10
gpt,repl-creative-001,claude-opus-4.7,creativity,10.0,10.0,+0,10
gpt,repl-creative-001,claude-opus-4.7,constraint_adherence,10.0,10.0,+0,10
gpt,repl-science-001,gemini-3.1-pro,correctness,9.0,9.0,+0,9
gpt,repl-science-001,gemini-3.1-pro,completeness,9.0,9.0,+0,9
gpt,repl-science-001,gemini-3.1-pro,clarity,9.0,9.0,+0,9
gpt,repl-science-001,gemini-3.1-pro,creativity,8.0,8.0,+0,8
gpt,repl-science-001,gemini-3.1-pro,constraint_adherence,10.0,10.0,+0,10
