prompt_id,author_short,author_model,paraphraser_short,paraphraser_model
creative-003,C,claude-opus-4.7,K,kimi-k2.6
creative-003,G,gemini-3.1-pro,K,kimi-k2.6
creative-003,K,kimi-k2.6,G,gemini-3.1-pro
creative-003,P,gpt-5.5,G,gemini-3.1-pro
creative-004,C,claude-opus-4.7,P,gpt-5.5
creative-004,G,gemini-3.1-pro,P,gpt-5.5
creative-004,K,kimi-k2.6,P,gpt-5.5
creative-004,P,gpt-5.5,K,kimi-k2.6
explain-001,C,claude-opus-4.7,G,gemini-3.1-pro
explain-001,G,gemini-3.1-pro,C,claude-opus-4.7
explain-001,K,kimi-k2.6,C,claude-opus-4.7
explain-001,P,gpt-5.5,C,claude-opus-4.7
explain-002,C,claude-opus-4.7,K,kimi-k2.6
explain-002,G,gemini-3.1-pro,K,kimi-k2.6
explain-002,K,kimi-k2.6,G,gemini-3.1-pro
explain-002,P,gpt-5.5,G,gemini-3.1-pro
explain-003,C,claude-opus-4.7,P,gpt-5.5
explain-003,G,gemini-3.1-pro,P,gpt-5.5
explain-003,K,kimi-k2.6,P,gpt-5.5
explain-003,P,gpt-5.5,K,kimi-k2.6
ethics-001,C,claude-opus-4.7,G,gemini-3.1-pro
ethics-001,G,gemini-3.1-pro,C,claude-opus-4.7
ethics-001,K,kimi-k2.6,C,claude-opus-4.7
ethics-001,P,gpt-5.5,C,claude-opus-4.7
ethics-002,C,claude-opus-4.7,K,kimi-k2.6
ethics-002,G,gemini-3.1-pro,K,kimi-k2.6
ethics-002,K,kimi-k2.6,G,gemini-3.1-pro
ethics-002,P,gpt-5.5,G,gemini-3.1-pro
design-001,C,claude-opus-4.7,P,gpt-5.5
design-001,G,gemini-3.1-pro,P,gpt-5.5
design-001,K,kimi-k2.6,P,gpt-5.5
design-001,P,gpt-5.5,K,kimi-k2.6
design-002,C,claude-opus-4.7,G,gemini-3.1-pro
design-002,G,gemini-3.1-pro,C,claude-opus-4.7
design-002,K,kimi-k2.6,C,claude-opus-4.7
design-002,P,gpt-5.5,C,claude-opus-4.7
translate-001,C,claude-opus-4.7,K,kimi-k2.6
translate-001,G,gemini-3.1-pro,K,kimi-k2.6
translate-001,K,kimi-k2.6,G,gemini-3.1-pro
translate-001,P,gpt-5.5,G,gemini-3.1-pro
translate-002,C,claude-opus-4.7,P,gpt-5.5
translate-002,G,gemini-3.1-pro,P,gpt-5.5
translate-002,K,kimi-k2.6,P,gpt-5.5
translate-002,P,gpt-5.5,K,kimi-k2.6
science-001,C,claude-opus-4.7,G,gemini-3.1-pro
science-001,G,gemini-3.1-pro,C,claude-opus-4.7
science-001,K,kimi-k2.6,C,claude-opus-4.7
science-001,P,gpt-5.5,C,claude-opus-4.7
science-002,C,claude-opus-4.7,K,kimi-k2.6
science-002,G,gemini-3.1-pro,K,kimi-k2.6
science-002,K,kimi-k2.6,G,gemini-3.1-pro
science-002,P,gpt-5.5,G,gemini-3.1-pro
history-001,C,claude-opus-4.7,P,gpt-5.5
history-001,G,gemini-3.1-pro,P,gpt-5.5
history-001,K,kimi-k2.6,P,gpt-5.5
history-001,P,gpt-5.5,K,kimi-k2.6
economics-001,C,claude-opus-4.7,G,gemini-3.1-pro
economics-001,G,gemini-3.1-pro,C,claude-opus-4.7
economics-001,K,kimi-k2.6,C,claude-opus-4.7
economics-001,P,gpt-5.5,C,claude-opus-4.7
philosophy-001,C,claude-opus-4.7,K,kimi-k2.6
philosophy-001,G,gemini-3.1-pro,K,kimi-k2.6
philosophy-001,K,kimi-k2.6,G,gemini-3.1-pro
philosophy-001,P,gpt-5.5,G,gemini-3.1-pro
creative-005,C,claude-opus-4.7,P,gpt-5.5
creative-005,G,gemini-3.1-pro,P,gpt-5.5
creative-005,K,kimi-k2.6,P,gpt-5.5
creative-005,P,gpt-5.5,K,kimi-k2.6
