judge,true_author,predicted_author,confidence,prompt_id
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,creative-001
gpt-5.5,claude-opus-4.7,claude-opus-4.7,3,creative-002
gpt-5.5,kimi-k2.6,kimi-k2.6,5,creative-002
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,creative-002
gpt-5.5,gpt-5.5,gpt-5.5,5,creative-002
gpt-5.5,gpt-5.5,gpt-5.5,5,creative-003
gpt-5.5,claude-opus-4.7,gemini-3.1-pro,3,creative-003
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,creative-003
gpt-5.5,kimi-k2.6,kimi-k2.6,5,creative-003
gpt-5.5,gpt-5.5,gpt-5.5,5,creative-004
gpt-5.5,kimi-k2.6,kimi-k2.6,5,creative-004
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,creative-004
gpt-5.5,claude-opus-4.7,claude-opus-4.7,3,creative-004
gpt-5.5,gpt-5.5,gpt-5.5,5,explain-001
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,explain-001
gpt-5.5,gemini-3.1-pro,kimi-k2.6,5,explain-001
gpt-5.5,kimi-k2.6,gemini-3.1-pro,3,explain-001
gpt-5.5,gpt-5.5,gpt-5.5,5,explain-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,explain-002
gpt-5.5,kimi-k2.6,kimi-k2.6,5,explain-002
gpt-5.5,gemini-3.1-pro,claude-opus-4.7,4,explain-002
gpt-5.5,gpt-5.5,gpt-5.5,5,explain-003
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,explain-003
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,explain-003
gpt-5.5,kimi-k2.6,kimi-k2.6,5,explain-003
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,ethics-001
gpt-5.5,kimi-k2.6,kimi-k2.6,5,ethics-001
gpt-5.5,gpt-5.5,gpt-5.5,5,ethics-001
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,ethics-001
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,ethics-002
gpt-5.5,gpt-5.5,gpt-5.5,5,ethics-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,ethics-002
gpt-5.5,kimi-k2.6,kimi-k2.6,5,ethics-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,design-001
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,design-001
gpt-5.5,gpt-5.5,gpt-5.5,5,design-001
gpt-5.5,kimi-k2.6,gemini-3.1-pro,3,design-001
gpt-5.5,kimi-k2.6,kimi-k2.6,3,design-002
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,design-002
gpt-5.5,gpt-5.5,gpt-5.5,5,design-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,design-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,3,translate-001
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,translate-001
gpt-5.5,kimi-k2.6,gpt-5.5,5,translate-001
gpt-5.5,gpt-5.5,gemini-3.1-pro,3,translate-001
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,translate-002
gpt-5.5,gpt-5.5,gpt-5.5,5,translate-002
gpt-5.5,kimi-k2.6,gemini-3.1-pro,3,translate-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,translate-002
gpt-5.5,gpt-5.5,gpt-5.5,5,science-001
gpt-5.5,kimi-k2.6,kimi-k2.6,3,science-001
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,science-001
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,science-001
gpt-5.5,kimi-k2.6,kimi-k2.6,3,science-002
gpt-5.5,gpt-5.5,gpt-5.5,5,science-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,science-002
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,science-002
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,history-001
gpt-5.5,kimi-k2.6,kimi-k2.6,5,history-001
gpt-5.5,gpt-5.5,gpt-5.5,5,history-001
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,history-001
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,economics-001
gpt-5.5,gemini-3.1-pro,kimi-k2.6,3,economics-001
gpt-5.5,kimi-k2.6,gemini-3.1-pro,3,economics-001
gpt-5.5,gpt-5.5,gpt-5.5,5,economics-001
gpt-5.5,gemini-3.1-pro,gemini-3.1-pro,3,philosophy-001
gpt-5.5,claude-opus-4.7,claude-opus-4.7,4,philosophy-001
gpt-5.5,gpt-5.5,gpt-5.5,5,philosophy-001
gpt-5.5,kimi-k2.6,kimi-k2.6,5,philosophy-001
gpt-5.5,claude-opus-4.7,gemini-3.1-pro,3,creative-005
gpt-5.5,gpt-5.5,gpt-5.5,5,creative-005
gpt-5.5,kimi-k2.6,kimi-k2.6,5,creative-005
gpt-5.5,gemini-3.1-pro,claude-opus-4.7,3,creative-005
